accountId,handle,name,lastPostAt,status,url
1969030448962752512,luvusdev,Luvus,2026-08-30T03:49:33.000Z,active,https://x.com/luvusdev
12,jack,jack,2015-06-01T12:00:00.000Z,quiet,https://x.com/jack
44196397,elonmusk,Elon Musk,2026-08-29T18:11:00.000Z,active,https://x.com/elonmusk
783214,X,X,2024-01-15T09:00:00.000Z,quiet,https://x.com/X
2244994945,XDevelopers,Developers,2023-11-02T16:22:10.000Z,quiet,https://x.com/XDevelopers
999000111,neverposted,Never Posted,,quiet,https://x.com/neverposted
888000222,brokenfetch,Broken Fetch,,error,https://x.com/brokenfetch
777000333,comma_name,"Account With Comma, Inc",2022-04-04T04:04:04.000Z,quiet,https://x.com/comma_name
666000444,oldthread,Old Thread,2020-12-25T00:00:00.000Z,quiet,https://x.com/oldthread
555000555,recentish,Recent-ish,2026-06-01T08:30:00.000Z,active,https://x.com/recentish
